# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
1.40000000000e-01 2.27283217689e+01 6.80834674997e-12 1.69502249823e-04 2.00463333971e-10 1.99553002699e-10 4.02473547190e-10 1.06633111281e+01 3.38092002166e-02
1.50000000000e-01 2.47540706494e+01 8.54454153759e-12 1.73651698562e-04 2.00468439081e-10 1.99555523563e-10 4.02440550988e-10 9.78738253201e+00 3.38094282010e-02
1.60000000000e-01 2.63907881257e+01 1.09507933598e-11 1.78205588542e-04 2.00473193212e-10 1.99558078267e-10 4.02403219431e-10 9.17705250205e+00 3.38097397600e-02
1.70000000000e-01 2.76608069598e+01 1.42694530870e-11 1.83270284810e-04 2.00477616873e-10 1.99560667560e-10 4.02361089819e-10 8.75225135302e+00 3.38101653554e-02
1.80000000000e-01 2.86131296318e+01 1.88305920411e-11 1.88986889641e-04 2.00481730302e-10 1.99563292212e-10 4.02313674049e-10 8.45731815285e+00 3.38107464503e-02
1.90000000000e-01 2.93057729380e+01 2.50831812128e-11 1.95540688338e-04 2.00485553265e-10 1.99565953021e-10 4.02260464151e-10 8.25353363564e+00 3.38115394231e-02
2.00000000000e-01 2.97942489532e+01 3.36371990256e-11 2.03172666433e-04 2.00489104900e-10 1.99568650806e-10 4.02200940400e-10 8.11398705594e+00 3.38126208382e-02
2.10000000000e-01 3.01260294592e+01 4.53201238906e-11 2.12193319825e-04 2.00492403596e-10 1.99571386411e-10 4.02134582508e-10 8.01998412671e+00 3.38140945233e-02
2.20000000000e-01 3.03389065860e+01 6.12526470491e-11 2.22998872161e-04 2.00495466909e-10 1.99574160710e-10 4.02060884403e-10 7.95857028100e+00 3.38161010380e-02
2.30000000000e-01 3.04615050045e+01 8.29496906402e-11 2.36089816809e-04 2.00498311504e-10 1.99576974600e-10 4.01979372981e-10 7.92080790838e+00 3.38188302919e-02
2.40000000000e-01 3.05146866639e+01 1.12454576504e-10 2.52091380316e-04 2.00500953126e-10 1.99579829011e-10 4.01889631027e-10 7.90057731504e+00 3.38225382724e-02
