# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
4.00000000000e-01 1.30892304491e+01 1.31738698274e-06 8.08583150906e-03 2.55964741973e-10 2.20466969945e-10 2.31187171273e-10 8.36646505276e+00 -1.35071611000e-01
4.10000000000e-01 1.23776385741e+01 1.49605634823e-06 8.16621458663e-03 2.55996495249e-10 2.20614905975e-10 2.31220003583e-10 8.70839718549e+00 -1.43238680165e-01
4.20000000000e-01 1.17127680382e+01 1.68730241746e-06 8.24013081064e-03 2.56026253760e-10 2.20765383874e-10 2.31254012833e-10 9.04660007884e+00 -1.51526077435e-01
4.30000000000e-01 1.10941530632e+01 1.89082275285e-06 8.30827776052e-03 2.56054161949e-10 2.20918473546e-10 2.31289219243e-10 9.37984179197e+00 -1.59910382032e-01
4.40000000000e-01 1.05204189127e+01 2.10629890830e-06 8.37127582939e-03 2.56080352828e-10 2.21074247409e-10 2.31325645281e-10 9.70714830461e+00 -1.68372130141e-01
4.50000000000e-01 9.98954865935e+00 2.33341165824e-06 8.42967514163e-03 2.56104948916e-10 2.21232780511e-10 2.31363315616e-10 1.00277703200e+01 -1.76895464242e-01
4.60000000000e-01 9.49910803904e+00 2.57185223999e-06 8.48396243373e-03 2.56128063098e-10 2.21394150648e-10 2.31402257079e-10 1.03411493873e+01 -1.85467723080e-01
4.70000000000e-01 9.04642615484e+00 2.82133002876e-06 8.53456767465e-03 2.56149799425e-10 2.21558438480e-10 2.31442498625e-10 1.06468855596e+01 -1.94079012948e-01
4.80000000000e-01 8.62873470510e+00 3.08157721628e-06 8.58187028712e-03 2.56170253838e-10 2.21725727659e-10 2.31484071301e-10 1.09447079309e+01 -2.02721788736e-01
4.90000000000e-01 8.24327092101e+00 3.35235110688e-06 8.62620489287e-03 2.56189514845e-10 2.21896104949e-10 2.31527008216e-10 1.12344487258e+01 -2.11390462988e-01
5.00000000000e-01 7.88735031590e+00 3.63343461543e-06 8.66786654880e-03 2.56207664130e-10 2.22069660360e-10 2.31571344520e-10 1.15160211467e+01 -2.20081053335e-01
5.10000000000e-01 7.55841529194e+00 3.92463548276e-06 8.70711547023e-03 2.56224777121e-10 2.22246487275e-10 2.31617117393e-10 1.17894008641e+01 -2.28790872834e-01
5.20000000000e-01 7.25406507356e+00 4.22578463725e-06 8.74418125746e-03 2.56240923504e-10 2.22426682592e-10 2.31664366037e-10 1.20546108590e+01 -2.37518263756e-01
5.30000000000e-01 6.97207163495e+00 4.53673404281e-06 8.77926665375e-03 2.56256167692e-10 2.22610346858e-10 2.31713131674e-10 1.23117092259e+01 -2.46262372815e-01
5.40000000000e-01 6.71038544323e+00 4.85735429147e-06 8.81255086980e-03 2.56270569263e-10 2.22797584415e-10 2.31763457562e-10 1.25607795172e+01 -2.55022964318e-01
5.50000000000e-01 6.46713404626e+00 5.18753212860e-06 8.84419251255e-03 2.56284183349e-10 2.22988503548e-10 2.31815389007e-10 1.28019232182e+01 -2.63800266995e-01
5.60000000000e-01 6.24061584313e+00 5.52716804058e-06 8.87433215742e-03 2.56297061002e-10 2.23183216631e-10 2.31868973390e-10 1.30352539730e+01 -2.72594850069e-01
5.70000000000e-01 6.02929079861e+00 5.87617398956e-06 8.90309460121e-03 2.56309249519e-10 2.23381840285e-10 2.31924260197e-10 1.32608932252e+01 -2.81407524239e-01
5.80000000000e-01 5.83176939832e+00 6.23447134526e-06 8.93059083167e-03 2.56320792748e-10 2.23584495528e-10 2.31981301063e-10 1.34789669846e+01 -2.90239263564e-01
