# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
2.50000000000e-01 2.35150588874e+01 2.17118537515e-07 5.76437071276e-03 2.31576374008e-10 2.17964161898e-10 2.98072313744e-10 5.63620986387e+00 4.93611467759e-02
2.60000000000e-01 2.29027356102e+01 2.73833277373e-07 6.11729963064e-03 2.31610067311e-10 2.18007614218e-10 2.98156587971e-10 5.87745417646e+00 5.23037798042e-02
2.70000000000e-01 2.22497188350e+01 3.43181676104e-07 6.44904646742e-03 2.31641375152e-10 2.18051711608e-10 2.98240481239e-10 6.14732452892e+00 5.56266974108e-02
2.80000000000e-01 2.15562189265e+01 4.27201347548e-07 6.75872596769e-03 2.31670476232e-10 2.18096470042e-10 2.98323524911e-10 6.44581123086e+00 5.93340039971e-02
2.90000000000e-01 2.08256812887e+01 5.28009788661e-07 7.04611046424e-03 2.31697536697e-10 2.18141906040e-10 2.98405384155e-10 6.77234332267e+00 6.34227871686e-02
3.00000000000e-01 2.00643908218e+01 6.47744594063e-07 7.31150625437e-03 2.31722710717e-10 2.18188036682e-10 2.98485841680e-10 7.12583052440e+00 6.78835523689e-02
3.10000000000e-01 1.92807249175e+01 7.88500503390e-07 7.55563167460e-03 2.31746141105e-10 2.18234879620e-10 2.98564779772e-10 7.50473015056e+00 7.27010298465e-02
3.20000000000e-01 1.84842460377e+01 9.52269361093e-07 7.77950444270e-03 2.31767959976e-10 2.18282453096e-10 2.98642162158e-10 7.90713018396e+00 7.78552483430e-02
3.30000000000e-01 1.76848095294e+01 1.14088848646e-06 7.98434292295e-03 2.31788289398e-10 2.18330775949e-10 2.98718016871e-10 8.33083999008e+00 8.33227547107e-02
3.40000000000e-01 1.68918114081e+01 1.35600150629e-06 8.17148347527e-03 2.31807242048e-10 2.18379867641e-10 2.98792420837e-10 8.77348140525e+00 8.90778621023e-02
3.50000000000e-01 1.61136399415e+01 1.59903378070e-06 8.34231414798e-03 2.31824921850e-10 2.18429748273e-10 2.98865486579e-10 9.23257461415e+00 9.50938273433e-02
3.60000000000e-01 1.53573424408e+01 1.87118259030e-06 8.49822368667e-03 2.31841424596e-10 2.18480438609e-10 2.98937351134e-10 9.70561494981e+00 1.01343884695e-01
3.70000000000e-01 1.46284832229e+01 2.17342060892e-06 8.64056408007e-03 2.31856838536e-10 2.18531960105e-10 2.99008167127e-10 1.01901382785e+01 1.07802092449e-01
3.80000000000e-01 1.39311507249e+01 2.50651007454e-06 8.77062453006e-03 2.31871244945e-10 2.18584334935e-10 2.99078095778e-10 1.06837738981e+01 1.14443975776e-01
3.90000000000e-01 1.32680674258e+01 2.87102454386e-06 8.88961469154e-03 2.31884718651e-10 2.18637586027e-10 2.99147301611e-10 1.11842848644e+01 1.21246970941e-01
4.00000000000e-01 1.26407605018e+01 3.26737510123e-06 8.99865517075e-03 2.31897328542e-10 2.18691737099e-10 2.99215948579e-10 1.16895963994e+01 1.28190691025e-01
4.10000000000e-01 1.20497595466e+01 3.69583824761e-06 9.09877351318e-03 2.31909138031e-10 2.18746812692e-10 2.99284197335e-10 1.21978135461e+01 1.35257041911e-01
4.20000000000e-01 1.14947970981e+01 4.15658326022e-06 9.19090419277e-03 2.31920205495e-10 2.18802838212e-10 2.99352203430e-10 1.27072295548e+01 1.42430220473e-01
4.30000000000e-01 1.09749962722e+01 4.64969744699e-06 9.27589139544e-03 2.31930584681e-10 2.18859839968e-10 2.99420116201e-10 1.32163266359e+01 1.49696626130e-01
4.40000000000e-01 1.04890367055e+01 5.17520832076e-06 9.35449364727e-03 2.31940325081e-10 2.18917845216e-10 2.99488078204e-10 1.37237707309e+01 1.57044713655e-01
4.50000000000e-01 1.00352950619e+01 5.73310222535e-06 9.42738956206e-03 2.31949472284e-10 2.18976882200e-10 2.99556225032e-10 1.42284018626e+01 1.64464810558e-01
4.60000000000e-01 9.61195975679e+00 6.32333933386e-06 9.49518416882e-03 2.31958068294e-10 2.19036980197e-10 2.99624685413e-10 1.47292214635e+01 1.71948917457e-01
4.70000000000e-01 9.21712162393e+00 6.94586520953e-06 9.55841543065e-03 2.31966151826e-10 2.19098169563e-10 2.99693581498e-10 1.52253778800e+01 1.79490505170e-01
4.80000000000e-01 8.84884333141e+00 7.60061928512e-06 9.61756068426e-03 2.31973758578e-10 2.19160481777e-10 2.99763029278e-10 1.57161510286e+01 1.87084318183e-01
4.90000000000e-01 8.50521077688e+00 8.28754069994e-06 9.67304282006e-03 2.31980921482e-10 2.19223949492e-10 2.99833139075e-10 1.62009369658e+01 1.94726190768e-01
5.00000000000e-01 8.18436968211e+00 9.00657195668e-06 9.72523609020e-03 2.31987670929e-10 2.19288606581e-10 2.99904016077e-10 1.66792329344e+01 2.02412879425e-01
5.10000000000e-01 7.88455035929e+00 9.75766084276e-06 9.77447148202e-03 2.31994034981e-10 2.19354488191e-10 2.99975760877e-10 1.71506232779e+01 2.10141913325e-01
5.20000000000e-01 7.60408325423e+00 1.05407610197e-05 9.82104162956e-03 2.32000039566e-10 2.19421630792e-10 3.00048470022e-10 1.76147664691e+01 2.17911463077e-01
5.30000000000e-01 7.34140746652e+00 1.13558316304e-05 9.86520526021e-03 2.32005708646e-10 2.19490072232e-10 3.00122236535e-10 1.80713833863e+01 2.25720227194e-01
