# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
1.90000000000e-01 3.08573578517e+01 1.51398193727e-09 5.41347031025e-04 2.12473307488e-10 2.06572012693e-10 3.32556346939e-10 4.85988074294e+00 3.76381365725e-02
2.00000000000e-01 3.06527973191e+01 2.05918137757e-09 6.50811161190e-04 2.12496099149e-10 2.06589325055e-10 3.32450347378e-10 4.87568795695e+00 3.76845936597e-02
2.10000000000e-01 3.04171879173e+01 2.79456862123e-09 7.82952197144e-04 2.12517267633e-10 2.06606880137e-10 3.32348964534e-10 4.89477363633e+00 3.77470984049e-02
2.20000000000e-01 3.01480095113e+01 3.78303612888e-09 9.39439748795e-04 2.12536925596e-10 2.06624683536e-10 3.32253881105e-10 4.91765053257e+00 3.78308301955e-02
2.30000000000e-01 2.98429342091e+01 5.10646649349e-09 1.12119744207e-03 2.12555179985e-10 2.06642741030e-10 3.32166471214e-10 4.94493595443e+00 3.79424334040e-02
2.40000000000e-01 2.95000436979e+01 6.87059405507e-09 1.32830034264e-03 2.12572131834e-10 2.06661058578e-10 3.32087733351e-10 4.97735858909e+00 3.80903194178e-02
2.50000000000e-01 2.91180402817e+01 9.21073729728e-09 1.55997185202e-03 2.12587876188e-10 2.06679642333e-10 3.32018288081e-10 5.01576684413e+00 3.82849722602e-02
2.60000000000e-01 2.86964202378e+01 1.22984212459e-08 1.81466616059e-03 2.12602502135e-10 2.06698498648e-10 3.31958428790e-10 5.06113810736e+00 3.85392243095e-02
2.70000000000e-01 2.82355717466e+01 1.63488607455e-08 2.09020290863e-03 2.12616092914e-10 2.06717634083e-10 3.31908199659e-10 5.11458750932e+00 3.88684547586e-02
2.80000000000e-01 2.77367592012e+01 2.16292123149e-08 2.38391867888e-03 2.12628726088e-10 2.06737055417e-10 3.31867474242e-10 5.17737418627e+00 3.92906517515e-02
2.90000000000e-01 2.72019735219e+01 2.84674160635e-08 2.69281108455e-03 2.12640473765e-10 2.06756769657e-10 3.31836017373e-10 5.25090171577e+00 3.98262745801e-02
3.00000000000e-01 2.66336646014e+01 3.72613281404e-08 3.01366564330e-03 2.12651402846e-10 2.06776784044e-10 3.31813525018e-10 5.33670794511e+00 4.04978608940e-02
3.10000000000e-01 2.60344209559e+01 4.84876784266e-08 3.34316575861e-03 2.12661575298e-10 2.06797106069e-10 3.31799645328e-10 5.43643838895e+00 4.13293504412e-02
