# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
6.00000000000e-01 8.65800712808e+00 2.08795512016e-06 8.95156887452e-03 2.23805795852e-10 2.09700357622e-10 2.57934164928e-10 2.08821242939e+01 -1.59535369032e-01
6.10000000000e-01 8.30776730540e+00 2.27259399218e-06 9.02916722456e-03 2.23810086039e-10 2.09794204281e-10 2.57979973979e-10 2.14597113705e+01 -1.66391445977e-01
6.20000000000e-01 7.98286853527e+00 2.46522959052e-06 9.10078955907e-03 2.23814158450e-10 2.09890034293e-10 2.58027107629e-10 2.20261968068e+01 -1.73314422485e-01
6.30000000000e-01 7.68089014364e+00 2.66582988270e-06 9.16700862615e-03 2.23818026309e-10 2.09987910751e-10 2.58075578992e-10 2.25813498438e+01 -1.80302603129e-01
6.40000000000e-01 7.39966379957e+00 2.87436418320e-06 9.22834394650e-03 2.23821701920e-10 2.10087899052e-10 2.58125403184e-10 2.31249775007e+01 -1.87354622628e-01
6.50000000000e-01 7.13725280338e+00 3.09080285298e-06 9.28526530765e-03 2.23825196738e-10 2.10190066959e-10 2.58176597241e-10 2.36569155453e+01 -1.94469380530e-01
6.60000000000e-01 6.89193015076e+00 3.31511706062e-06 9.33819645530e-03 2.23828521435e-10 2.10294484654e-10 2.58229180047e-10 2.41770215116e+01 -2.01645990417e-01
6.70000000000e-01 6.66215682395e+00 3.54727860707e-06 9.38751882958e-03 2.23831685958e-10 2.10401224790e-10 2.58283172260e-10 2.46851692831e+01 -2.08883740534e-01
6.80000000000e-01 6.44656117283e+00 3.78725980972e-06 9.43357523657e-03 2.23834699585e-10 2.10510362528e-10 2.58338596257e-10 2.51812448643e+01 -2.16182063358e-01
6.90000000000e-01 6.24391985115e+00 4.03503343853e-06 9.47667337974e-03 2.23837570974e-10 2.10621975570e-10 2.58395476068e-10 2.56651430508e+01 -2.23540512074e-01
7.00000000000e-01 6.05314051312e+00 4.29057269515e-06 9.51708920207e-03 2.23840308212e-10 2.10736144174e-10 2.58453837332e-10 2.61367647757e+01 -2.30958742388e-01
7.10000000000e-01 5.87324630970e+00 4.55385122669e-06 9.55507000927e-03 2.23842918851e-10 2.10852951166e-10 2.58513707255e-10 2.65960149647e+01 -2.38436498417e-01
