# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
1.10000000000e-01 2.98760219789e-01 8.96481470580e-12 1.24072209558e-04 2.16777382678e-10 1.86599403814e-10 3.22905830461e-10 2.02878438408e+03 -3.57991434859e-02
1.20000000000e-01 4.13986120273e-01 8.86698874551e-12 1.25731540566e-04 2.16987934584e-10 1.86680664026e-10 3.22905750637e-10 1.46389848890e+03 -3.57991543015e-02
1.30000000000e-01 5.72630595951e-01 8.78511529805e-12 1.27615397592e-04 2.17184692322e-10 1.86762987767e-10 3.22905655909e-10 1.05815613259e+03 -3.57991691243e-02
1.40000000000e-01 7.90228536641e-01 8.72338823300e-12 1.29752858016e-04 2.17368314520e-10 1.86846398029e-10 3.22905543179e-10 7.66631848909e+02 -3.57991894370e-02
1.50000000000e-01 1.08718090474e+00 8.68761015484e-12 1.32175573928e-04 2.17539480508e-10 1.86930918487e-10 3.22905408680e-10 5.57107047345e+02 -3.57992172698e-02
1.60000000000e-01 1.48970013705e+00 8.68574569619e-12 1.34917941047e-04 2.17698878729e-10 1.87016573523e-10 3.22905247851e-10 4.06467419768e+02 -3.57992554018e-02
1.70000000000e-01 2.03042392312e+00 8.72875843186e-12 1.38017364563e-04 2.17847196826e-10 1.87103388256e-10 3.22905055194e-10 2.98127770258e+02 -3.57993076361e-02
1.80000000000e-01 2.74818900845e+00 8.83168026917e-12 1.41514676594e-04 2.17985113351e-10 1.87191388565e-10 3.22904824112e-10 2.20183249546e+02 -3.57993791755e-02
1.90000000000e-01 3.68615119284e+00 9.01511324374e-12 1.45454770427e-04 2.18113291046e-10 1.87280601120e-10 3.22904546744e-10 1.64086493540e+02 -3.57994771346e-02
2.00000000000e-01 4.88563617596e+00 9.30723346392e-12 1.48996145817e-04 2.18232371556e-10 1.87371053413e-10 3.22904213805e-10 1.23701464070e+02 -3.57996112258e-02
2.10000000000e-01 6.37905144441e+00 9.74630650258e-12 1.52182930883e-04 2.18342971437e-10 1.87462773787e-10 3.22903814562e-10 9.46272920914e+01 -3.57997946197e-02
2.20000000000e-01 8.18133028398e+00 1.03845883468e-11 1.55996655260e-04 2.18445679299e-10 1.87555791472e-10 3.22903336404e-10 7.36858027871e+01 -3.58000452950e-02
2.30000000000e-01 1.02742283209e+01 1.12932492424e-11 1.60508540130e-04 2.18541053923e-10 1.87650136613e-10 3.22902764711e-10 5.85930077574e+01 -3.58003877364e-02
2.40000000000e-01 1.25987489010e+01 1.25691201519e-11 1.65802305374e-04 2.18629623198e-10 1.87745840314e-10 3.22902082674e-10 4.77088847023e+01 -3.58008552365e-02
2.50000000000e-01 1.50559933197e+01 1.43437686226e-11 1.71977433474e-04 2.18711883727e-10 1.87842934667e-10 3.22901271110e-10 3.98551712044e+01 -3.58014930095e-02
2.60000000000e-01 1.75207919675e+01 1.67956758874e-11 1.79153063293e-04 2.18788300984e-10 1.87941452798e-10 3.22900308263e-10 3.41848450205e+01 -3.58023623756e-02
2.70000000000e-01 1.98651301047e+01 2.01666031847e-11 1.87472563336e-04 2.18859309889e-10 1.88041428902e-10 3.22899169624e-10 3.00887304904e+01 -3.58035463679e-02
2.80000000000e-01 2.19826488011e+01 2.47834305672e-11 1.97108840944e-04 2.18925315715e-10 1.88142898289e-10 3.22897827761e-10 2.71284700246e+01 -3.58051572188e-02
2.90000000000e-01 2.38047383683e+01 3.10872629153e-11 2.08270451321e-04 2.18986695226e-10 1.88245897427e-10 3.22896252184e-10 2.49884928873e+01 -3.58073463182e-02
3.00000000000e-01 2.53039620236e+01 3.96719977281e-11 2.21208573688e-04 2.19043797989e-10 1.88350463989e-10 3.22894409255e-10 2.34415181093e+01 -3.58103173969e-02
3.10000000000e-01 2.64870130985e+01 5.13351862542e-11 2.36224915433e-04 2.19096947787e-10 1.88456636899e-10 3.22892262175e-10 2.23237827177e+01 -3.58143438874e-02
3.20000000000e-01 2.73827777731e+01 6.71448145880e-11 2.53680582906e-04 2.19146444101e-10 1.88564456387e-10 3.22889771064e-10 2.15172772869e+01 -3.58197916447e-02
3.30000000000e-01 2.80306674991e+01 8.85263613350e-11 2.74005912844e-04 2.19192563596e-10 1.88673964037e-10 3.22886893204e-10 2.09369656282e+01 -3.58271484688e-02
